language ,name                 ,subset      ,ocr   ,category     ,  M docs, B words, B chars, #words/doc,#chars/word, B tokens,#tokens/words,#chars/tokens
---      ,---                  ,---         ,      ,             , 696.130, 269.034,1982.080,        386,        7.4,  604.851,        2.25,        3.28
fr       ,---                  ,---         ,      ,             ,  14.137, 109.180, 665.395,       7723,        6.1,  193.356,        1.77,        3.44
en       ,---                  ,---         ,      ,             , 133.082,  84.748, 535.325,        637,        6.3,  144.056,        1.70,        3.72
fr-en    ,---                  ,---         ,      ,             , 410.032,  17.016, 107.658,         41,        6.3,   25.493,        1.50,        4.22
de       ,---                  ,---         ,      ,             ,   3.137,   2.531,  17.148,        807,        6.8,    5.240,        2.07,        3.27
es       ,---                  ,---         ,      ,             ,   2.204,   2.106,  12.473,        955,        5.9,    3.701,        1.76,        3.37
it       ,---                  ,---         ,      ,             ,   2.117,   1.856,  11.442,        877,        6.2,    3.615,        1.95,        3.16
es-en    ,---                  ,---         ,      ,             ,   1.961,   0.103,   0.631,         52,        6.1,    0.143,        1.39,        4.42
it-en    ,---                  ,---         ,      ,             ,   1.901,   0.100,   0.638,         52,        6.4,    0.151,        1.52,        4.22
de-fr    ,---                  ,---         ,      ,             ,   1.792,   0.091,   0.621,         51,        6.8,    0.141,        1.55,        4.41
code     ,---                  ,---         ,      ,             , 125.768,  51.305, 630.749,        408,       12.3,  228.955,        4.46,        2.75
fr       ,GallicaPress         ,            ,true  ,newspaper    ,   3.205,  67.496, 408.882,      21061,        6.1,  121.606,        1.80,        3.36
fr       ,GallicaMonographies  ,            ,true  ,book         ,   0.278,  15.106,  90.456,      54392,        6.0,   25.169,        1.67,        3.59
fr       ,HAL                  ,            ,true  ,technical    ,   0.349,   9.356,  58.308,      26811,        6.2,   16.224,        1.73,        3.59
fr       ,Theses               ,            ,true  ,technical    ,   0.104,   7.548,  47.767,      72247,        6.3,   14.067,        1.86,        3.40
fr       ,Persee               ,            ,true  ,technical    ,   1.094,   3.250,  20.314,       2970,        6.2,    5.754,        1.77,        3.53
fr       ,OpenEdition          ,            ,false ,technical    ,   0.939,   2.225,  14.459,       2369,        6.5,    3.604,        1.62,        4.01
fr       ,Wikipedia.fr         ,            ,false ,wiki         ,   2.648,   1.726,   9.879,        652,        5.7,    2.940,        1.70,        3.36
fr       ,OpenData             ,            ,false ,legi_written ,   1.169,   0.755,   4.638,        646,        6.1,    1.209,        1.60,        3.84
fr       ,Wikiother.fr         ,            ,false ,wiki         ,   0.836,   0.576,   3.427,        690,        5.9,    0.912,        1.58,        3.76
fr       ,Gutenberg.fr         ,            ,false ,book         ,   0.003,   0.227,   1.392,      65807,        6.1,    0.383,        1.69,        3.64
fr       ,Claire.fr            ,            ,false ,dialogue     ,   0.039,   0.209,   1.314,       5321,        6.3,    0.310,        1.48,        4.23
fr       ,DiscoursPublics      ,            ,false ,legi_spoken  ,   0.110,   0.163,   1.025,       1481,        6.3,    0.238,        1.47,        4.30
fr       ,ValidatedYouTube.fr  ,            ,false ,dialogue     ,   0.038,   0.145,   1.003,       3862,        6.9,    0.336,        2.32,        2.98
fr       ,OtherFr              ,questions_ecrites_parlement,false ,legi_written ,   0.189,   0.108,   0.705,        572,        6.5,    0.156,        1.44,        4.52
fr       ,OtherFr              ,interventions_parlement,false ,legi_spoken  ,   1.832,   0.104,   0.654,         57,        6.3,    0.157,        1.50,        4.18
fr       ,OtherFr              ,LEGI        ,false ,legi_written ,   0.621,   0.088,   0.563,        141,        6.4,    0.145,        1.65,        3.88
fr       ,Europarl.fr          ,            ,false ,legi_dialogue,   0.010,   0.053,   0.339,       5129,        6.4,    0.072,        1.36,        4.73
