language ,name                 ,subset                      ,ocr   ,category     ,  M docs, B words, B chars, #words/doc,#chars/word, B tokens,#tokens/words,#chars/tokens
---      ,---                  ,---                         ,      ,             , 695.601, 266.005,1963.306,        382,        7.4,  602.500,        2.26,        3.26
fr       ,---                  ,---                         ,      ,             ,  13.609, 106.063, 646.067,       7794,        6.1,  190.762,        1.80,        3.39
en       ,---                  ,---                         ,      ,             , 133.082,  84.847, 535.950,        638,        6.3,  144.291,        1.70,        3.71
fr-en    ,---                  ,---                         ,      ,             , 410.032,  17.016, 107.658,         41,        6.3,   25.493,        1.50,        4.22
de       ,---                  ,---                         ,      ,             ,   3.137,   2.520,  17.076,        803,        6.8,    5.244,        2.08,        3.26
es       ,---                  ,---                         ,      ,             ,   2.204,   2.104,  12.466,        955,        5.9,    3.703,        1.76,        3.37
it       ,---                  ,---                         ,      ,             ,   2.117,   1.857,  11.450,        877,        6.2,    3.617,        1.95,        3.17
es-en    ,---                  ,---                         ,      ,             ,   1.961,   0.103,   0.631,         52,        6.1,    0.143,        1.39,        4.42
it-en    ,---                  ,---                         ,      ,             ,   1.901,   0.100,   0.638,         52,        6.4,    0.151,        1.52,        4.22
de-fr    ,---                  ,---                         ,      ,             ,   1.792,   0.091,   0.621,         51,        6.8,    0.141,        1.55,        4.41
code     ,---                  ,---                         ,      ,             , 125.768,  51.305, 630.749,        408,       12.3,  228.955,        4.46,        2.75
fr       ,GallicaPress         ,html                        ,true  ,newspaper    ,   1.545,  41.549, 252.756,      26893,        6.1,   77.130,        1.86,        3.28
fr       ,GallicaPress         ,txt                         ,true  ,newspaper    ,   1.185,  22.343, 134.161,      18854,        6.0,   39.857,        1.78,        3.37
fr       ,GallicaMonographies  ,                            ,true  ,book         ,   0.264,  15.052,  90.172,      57115,        6.0,   25.424,        1.69,        3.55
fr       ,HAL                  ,                            ,true  ,technical    ,   0.349,   9.356,  58.308,      26811,        6.2,   16.224,        1.73,        3.59
fr       ,Theses               ,                            ,true  ,technical    ,   0.103,   8.235,  51.696,      80143,        6.3,   16.165,        1.96,        3.20
fr       ,Persee               ,                            ,true  ,technical    ,   1.094,   3.250,  20.314,       2970,        6.2,    5.754,        1.77,        3.53
fr       ,OpenEdition          ,                            ,false ,technical    ,   0.939,   2.225,  14.459,       2369,        6.5,    3.604,        1.62,        4.01
fr       ,Wikipedia.fr         ,                            ,false ,wiki         ,   2.648,   1.726,   9.879,        652,        5.7,    2.940,        1.70,        3.36
fr       ,OpenData             ,inca-1                      ,false ,legal        ,   0.247,   0.257,   1.547,       1043,        6.0,         ,            ,            
fr       ,OpenData             ,inca-2                      ,false ,legal        ,   0.127,   0.192,   1.149,       1512,        6.0,         ,            ,            
fr       ,OpenData             ,balo                        ,false ,legal        ,   0.136,   0.165,   1.047,       1215,        6.4,    0.291,        1.76,        3.60
fr       ,OpenData             ,kali                        ,false ,legal        ,   0.431,   0.114,   0.727,        265,        6.4,    0.175,        1.53,        4.16
fr       ,OpenData             ,sarde                       ,false ,legal        ,   0.224,   0.014,   0.085,         61,        6.2,    0.031,        2.28,        2.72
fr       ,OpenData             ,dole                        ,false ,legal        ,   0.004,   0.013,   0.083,       3230,        6.2,    0.022,        1.62,        3.84
fr       ,Wikiother.fr         ,wikisource                  ,false ,wiki         ,   0.186,   0.523,   3.080,       2818,        5.9,    0.795,        1.52,        3.87
fr       ,Wikiother.fr         ,wiktionary                  ,false ,wiki         ,   0.650,   0.053,   0.347,         82,        6.5,    0.117,        2.20,        2.96
fr       ,OtherFr              ,questions_ecrites_parlement ,false ,misc         ,   0.189,   0.108,   0.705,        572,        6.5,    0.156,        1.44,        4.52
fr       ,OtherFr              ,interventions_parlement     ,false ,misc         ,   1.832,   0.104,   0.654,         57,        6.3,    0.157,        1.50,        4.18
fr       ,OtherFr              ,LEGI                        ,false ,misc         ,   0.621,   0.088,   0.563,        141,        6.4,    0.145,        1.65,        3.88
fr       ,OtherFr              ,amendements_parlement       ,false ,misc         ,   0.673,   0.045,   0.274,         67,        6.1,    0.074,        1.63,        3.71
fr       ,Gutenberg.fr         ,                            ,false ,book         ,   0.003,   0.226,   1.385,      68357,        6.1,    0.391,        1.73,        3.55
fr       ,Claire.fr            ,AssembleeNationale          ,false ,dialogue     ,   0.004,   0.130,   0.822,      28841,        6.3,    0.187,        1.44,        4.41
fr       ,Claire.fr            ,Senat                       ,false ,dialogue     ,   0.001,   0.051,   0.330,      69631,        6.4,    0.076,        1.48,        4.33
fr       ,Claire.fr            ,Theatre                     ,false ,dialogue     ,   0.031,   0.017,   0.096,        538,        5.7,    0.029,        1.73,        3.31
fr       ,Claire.fr            ,ESLO                        ,false ,dialogue     ,   0.001,   0.005,   0.030,       7811,        5.9,    0.009,        1.73,        3.42
fr       ,Claire.fr            ,ORFEO                       ,false ,dialogue     ,   0.000,   0.001,   0.008,       3337,        5.7,    0.002,        1.49,        3.80
fr       ,Claire.fr            ,SUMM                        ,false ,dialogue     ,   0.000,   0.001,   0.007,       4474,        5.6,    0.002,        1.48,        3.79
fr       ,Claire.fr            ,TCOF                        ,false ,dialogue     ,   0.000,   0.001,   0.005,       3310,        5.8,    0.001,        1.67,        3.46
fr       ,Claire.fr            ,CFPP                        ,false ,dialogue     ,   0.000,   0.001,   0.004,      15389,        6.0,    0.001,        1.76,        3.39
fr       ,Claire.fr            ,OFROM                       ,false ,dialogue     ,   0.000,   0.001,   0.003,       3927,        5.8,    0.001,        1.68,        3.44
fr       ,Claire.fr            ,PFC                         ,false ,dialogue     ,   0.000,   0.001,   0.003,       1585,        5.9,    0.001,        1.82,        3.24
fr       ,Claire.fr            ,FREDSum                     ,false ,dialogue     ,   0.000,   0.000,   0.002,       2721,        5.9,    0.001,        1.47,        4.03
fr       ,Claire.fr            ,CLAPI                       ,false ,dialogue     ,   0.000,   0.000,   0.001,      10318,        6.3,    0.000,        2.10,        3.00
fr       ,Claire.fr            ,CID                         ,false ,dialogue     ,   0.000,   0.000,   0.001,      15041,        6.0,    0.000,        1.95,        3.07
fr       ,Claire.fr            ,LINAGORA                    ,false ,dialogue     ,   0.000,   0.000,   0.001,       7586,        6.0,    0.000,        1.77,        3.38
fr       ,Claire.fr            ,ACSYNT                      ,false ,dialogue     ,   0.000,   0.000,   0.000,        425,        5.7,    0.000,        1.57,        3.61
fr       ,Claire.fr            ,OTG                         ,false ,dialogue     ,   0.000,   0.000,   0.000,         95,        6.5,    0.000,        2.07,        3.14
fr       ,Claire.fr            ,Rhapsodie                   ,false ,dialogue     ,   0.000,   0.000,   0.000,        669,        6.0,    0.000,        1.72,        3.46
fr       ,Claire.fr            ,ParisStories                ,false ,dialogue     ,   0.000,   0.000,   0.000,        502,        5.4,    0.000,        1.54,        3.52
fr       ,Claire.fr            ,UBS                         ,false ,dialogue     ,   0.000,   0.000,   0.000,        192,        6.3,    0.000,        2.06,        3.04
fr       ,DiscoursPublics      ,                            ,false ,parlementary ,   0.110,   0.163,   1.025,       1481,        6.3,    0.238,        1.47,        4.30
fr       ,Europarl.fr          ,                            ,false ,parlementary ,   0.010,   0.053,   0.339,       5129,        6.4,    0.072,        1.36,        4.73
en       ,PeS2o                ,s2orc-train                 ,mixed ,technical    ,   8.242,  36.092, 226.904,       4379,        6.3,         ,            ,            
en       ,PeS2o                ,s2ag-train                  ,mixed ,technical    ,  30.569,   5.926,  40.273,        194,        6.8,         ,            ,            
en       ,PeS2o                ,validation                  ,mixed ,technical    ,   0.161,   0.279,   1.785,       1734,        6.4,         ,            ,            
en       ,Pile                 ,FreeLaw                     ,false ,legal        ,   3.415,   8.204,  52.580,       2403,        6.4,   14.011,        1.71,        3.75
en       ,Pile                 ,StackExchange               ,false ,forum        ,  15.269,   4.534,  33.609,        297,        7.4,   10.275,        2.27,        3.27
en       ,Pile                 ,USPTO_Backgrounds           ,false ,technical    ,   5.139,   3.492,  22.309,        680,        6.4,    5.105,        1.46,        4.37
en       ,Pile                 ,DM_Mathematics              ,false ,math         ,   0.992,   1.746,   8.127,       1760,        4.7,    4.928,        2.82,        1.65
en       ,Pile                 ,Ubuntu_IRC                  ,false ,forum        ,   0.010,   0.867,   5.610,      83577,        6.5,    2.159,        2.49,        2.60
en       ,Pile                 ,PhilPapers                  ,false ,technical    ,   0.031,   0.363,   2.304,      11801,        6.3,    0.618,        1.70,        3.73
en       ,Pile                 ,NIH_ExPorter                ,false ,technical    ,   0.914,   0.288,   1.979,        315,        6.9,    0.431,        1.50,        4.59
en       ,AmericanStories      ,1922                        ,true  ,newspaper    ,   2.024,   0.314,   1.801,        155,        5.7,         ,            ,            
en       ,AmericanStories      ,1921                        ,true  ,newspaper    ,   1.972,   0.300,   1.718,        152,        5.7,         ,            ,            
en       ,AmericanStories      ,1920                        ,true  ,newspaper    ,   1.732,   0.252,   1.441,        145,        5.7,         ,            ,            
en       ,AmericanStories      ,1909                        ,true  ,newspaper    ,   1.642,   0.251,   1.419,        153,        5.7,         ,            ,            
en       ,AmericanStories      ,1919                        ,true  ,newspaper    ,   1.693,   0.245,   1.401,        145,        5.7,         ,            ,            
en       ,AmericanStories      ,1918                        ,true  ,newspaper    ,   1.655,   0.244,   1.390,        147,        5.7,         ,            ,            
en       ,AmericanStories      ,1908                        ,true  ,newspaper    ,   1.563,   0.240,   1.358,        153,        5.7,         ,            ,            
en       ,AmericanStories      ,1914                        ,true  ,newspaper    ,   1.672,   0.236,   1.338,        141,        5.7,         ,            ,            
en       ,AmericanStories      ,1915                        ,true  ,newspaper    ,   1.641,   0.231,   1.311,        141,        5.7,         ,            ,            
en       ,AmericanStories      ,1912                        ,true  ,newspaper    ,   1.531,   0.221,   1.251,        144,        5.7,         ,            ,            
en       ,AmericanStories      ,1916                        ,true  ,newspaper    ,   1.609,   0.221,   1.258,        137,        5.7,         ,            ,            
en       ,AmericanStories      ,1906                        ,true  ,newspaper    ,   1.424,   0.221,   1.249,        155,        5.7,         ,            ,            
en       ,AmericanStories      ,1917                        ,true  ,newspaper    ,   1.589,   0.219,   1.245,        138,        5.7,         ,            ,            
en       ,AmericanStories      ,1913                        ,true  ,newspaper    ,   1.548,   0.216,   1.221,        139,        5.7,         ,            ,            
en       ,AmericanStories      ,1910                        ,true  ,newspaper    ,   1.428,   0.213,   1.207,        149,        5.7,         ,            ,            
en       ,AmericanStories      ,1905                        ,true  ,newspaper    ,   1.393,   0.212,   1.201,        152,        5.7,         ,            ,            
en       ,AmericanStories      ,1901                        ,true  ,newspaper    ,   1.245,   0.203,   1.150,        163,        5.7,         ,            ,            
en       ,AmericanStories      ,1898                        ,true  ,newspaper    ,   1.150,   0.181,   1.024,        157,        5.7,         ,            ,            
en       ,AmericanStories      ,1897                        ,true  ,newspaper    ,   1.077,   0.173,   0.982,        161,        5.7,         ,            ,            
en       ,AmericanStories      ,1903                        ,true  ,newspaper    ,   1.141,   0.172,   0.972,        151,        5.7,         ,            ,            
en       ,AmericanStories      ,1896                        ,true  ,newspaper    ,   1.007,   0.172,   0.974,        170,        5.7,         ,            ,            
en       ,AmericanStories      ,1904                        ,true  ,newspaper    ,   1.147,   0.165,   0.937,        144,        5.7,         ,            ,            
en       ,AmericanStories      ,1907                        ,true  ,newspaper    ,   0.963,   0.128,   0.726,        133,        5.7,         ,            ,            
en       ,AmericanStories      ,1895                        ,true  ,newspaper    ,   0.769,   0.124,   0.702,        161,        5.7,         ,            ,            
en       ,AmericanStories      ,1911                        ,true  ,newspaper    ,   0.858,   0.112,   0.636,        131,        5.7,         ,            ,            
en       ,AmericanStories      ,1923                        ,true  ,newspaper    ,   0.766,   0.110,   0.631,        143,        5.7,         ,            ,            
en       ,AmericanStories      ,1894                        ,true  ,newspaper    ,   0.677,   0.109,   0.620,        162,        5.7,         ,            ,            
en       ,AmericanStories      ,1924                        ,true  ,newspaper    ,   0.725,   0.108,   0.621,        149,        5.8,         ,            ,            
en       ,AmericanStories      ,1902                        ,true  ,newspaper    ,   0.786,   0.106,   0.603,        135,        5.7,         ,            ,            
en       ,AmericanStories      ,1893                        ,true  ,newspaper    ,   0.558,   0.089,   0.505,        160,        5.7,         ,            ,            
en       ,AmericanStories      ,1891                        ,true  ,newspaper    ,   0.522,   0.088,   0.499,        168,        5.7,         ,            ,            
en       ,AmericanStories      ,1933                        ,true  ,newspaper    ,   0.563,   0.086,   0.498,        152,        5.8,         ,            ,            
en       ,AmericanStories      ,1934                        ,true  ,newspaper    ,   0.560,   0.085,   0.495,        152,        5.8,         ,            ,            
en       ,AmericanStories      ,1899                        ,true  ,newspaper    ,   0.650,   0.083,   0.474,        128,        5.7,         ,            ,            
en       ,AmericanStories      ,1935                        ,true  ,newspaper    ,   0.542,   0.081,   0.468,        149,        5.8,         ,            ,            
en       ,AmericanStories      ,1936                        ,true  ,newspaper    ,   0.556,   0.080,   0.468,        145,        5.8,         ,            ,            
en       ,AmericanStories      ,1937                        ,true  ,newspaper    ,   0.559,   0.080,   0.464,        142,        5.8,         ,            ,            
en       ,AmericanStories      ,1938                        ,true  ,newspaper    ,   0.550,   0.079,   0.459,        143,        5.8,         ,            ,            
en       ,AmericanStories      ,1941                        ,true  ,newspaper    ,   0.512,   0.075,   0.440,        147,        5.8,         ,            ,            
en       ,AmericanStories      ,1900                        ,true  ,newspaper    ,   0.589,   0.075,   0.427,        127,        5.7,         ,            ,            
en       ,AmericanStories      ,1926                        ,true  ,newspaper    ,   0.514,   0.073,   0.419,        142,        5.7,         ,            ,            
en       ,AmericanStories      ,1892                        ,true  ,newspaper    ,   0.451,   0.072,   0.410,        160,        5.7,         ,            ,            
en       ,AmericanStories      ,1942                        ,true  ,newspaper    ,   0.424,   0.065,   0.380,        154,        5.8,         ,            ,            
en       ,AmericanStories      ,1927                        ,true  ,newspaper    ,   0.431,   0.061,   0.353,        142,        5.7,         ,            ,            
en       ,AmericanStories      ,1940                        ,true  ,newspaper    ,   0.403,   0.060,   0.348,        148,        5.8,         ,            ,            
en       ,AmericanStories      ,1931                        ,true  ,newspaper    ,   0.442,   0.060,   0.345,        135,        5.8,         ,            ,            
en       ,AmericanStories      ,1883                        ,true  ,newspaper    ,   0.326,   0.058,   0.331,        179,        5.7,         ,            ,            
en       ,AmericanStories      ,1947                        ,true  ,newspaper    ,   0.311,   0.051,   0.295,        163,        5.8,         ,            ,            
en       ,AmericanStories      ,1879                        ,true  ,newspaper    ,   0.228,   0.050,   0.282,        218,        5.7,         ,            ,            
en       ,AmericanStories      ,1948                        ,true  ,newspaper    ,   0.308,   0.049,   0.284,        158,        5.8,         ,            ,            
en       ,AmericanStories      ,1876                        ,true  ,newspaper    ,   0.223,   0.048,   0.277,        217,        5.7,         ,            ,            
en       ,AmericanStories      ,1932                        ,true  ,newspaper    ,   0.373,   0.048,   0.283,        130,        5.8,         ,            ,            
en       ,AmericanStories      ,1929                        ,true  ,newspaper    ,   0.361,   0.048,   0.278,        134,        5.8,         ,            ,            
en       ,AmericanStories      ,1878                        ,true  ,newspaper    ,   0.236,   0.048,   0.275,        205,        5.7,         ,            ,            
en       ,AmericanStories      ,1951                        ,true  ,newspaper    ,   0.323,   0.048,   0.278,        147,        5.8,         ,            ,            
en       ,AmericanStories      ,1949                        ,true  ,newspaper    ,   0.306,   0.046,   0.268,        150,        5.8,         ,            ,            
en       ,AmericanStories      ,1888                        ,true  ,newspaper    ,   0.299,   0.043,   0.247,        145,        5.7,         ,            ,            
en       ,AmericanStories      ,1889                        ,true  ,newspaper    ,   0.295,   0.042,   0.241,        144,        5.7,         ,            ,            
en       ,AmericanStories      ,1925                        ,true  ,newspaper    ,   0.347,   0.042,   0.244,        122,        5.8,         ,            ,            
en       ,AmericanStories      ,1881                        ,true  ,newspaper    ,   0.223,   0.040,   0.229,        182,        5.7,         ,            ,            
en       ,AmericanStories      ,1939                        ,true  ,newspaper    ,   0.301,   0.039,   0.230,        131,        5.8,         ,            ,            
en       ,AmericanStories      ,1880                        ,true  ,newspaper    ,   0.219,   0.039,   0.224,        180,        5.7,         ,            ,            
en       ,AmericanStories      ,1890                        ,true  ,newspaper    ,   0.279,   0.039,   0.223,        141,        5.7,         ,            ,            
en       ,AmericanStories      ,1873                        ,true  ,newspaper    ,   0.177,   0.038,   0.217,        215,        5.7,         ,            ,            
en       ,AmericanStories      ,1874                        ,true  ,newspaper    ,   0.165,   0.037,   0.212,        226,        5.7,         ,            ,            
en       ,AmericanStories      ,1945                        ,true  ,newspaper    ,   0.280,   0.036,   0.212,        130,        5.8,         ,            ,            
en       ,AmericanStories      ,1960                        ,true  ,newspaper    ,   0.258,   0.036,   0.211,        140,        5.8,         ,            ,            
en       ,AmericanStories      ,1887                        ,true  ,newspaper    ,   0.261,   0.036,   0.202,        136,        5.7,         ,            ,            
en       ,AmericanStories      ,1946                        ,true  ,newspaper    ,   0.244,   0.034,   0.199,        140,        5.8,         ,            ,            
en       ,AmericanStories      ,1930                        ,true  ,newspaper    ,   0.273,   0.033,   0.190,        120,        5.8,         ,            ,            
en       ,AmericanStories      ,1954                        ,true  ,newspaper    ,   0.205,   0.031,   0.181,        151,        5.8,         ,            ,            
en       ,AmericanStories      ,1928                        ,true  ,newspaper    ,   0.254,   0.030,   0.176,        120,        5.8,         ,            ,            
en       ,AmericanStories      ,1955                        ,true  ,newspaper    ,   0.197,   0.030,   0.172,        150,        5.8,         ,            ,            
en       ,AmericanStories      ,1944                        ,true  ,newspaper    ,   0.219,   0.029,   0.171,        134,        5.8,         ,            ,            
en       ,AmericanStories      ,1886                        ,true  ,newspaper    ,   0.217,   0.029,   0.165,        134,        5.7,         ,            ,            
en       ,AmericanStories      ,1962                        ,true  ,newspaper    ,   0.209,   0.029,   0.168,        138,        5.8,         ,            ,            
en       ,AmericanStories      ,1943                        ,true  ,newspaper    ,   0.222,   0.028,   0.165,        128,        5.8,         ,            ,            
en       ,AmericanStories      ,1861                        ,true  ,newspaper    ,   0.141,   0.028,   0.163,        200,        5.8,         ,            ,            
en       ,AmericanStories      ,1862                        ,true  ,newspaper    ,   0.119,   0.027,   0.156,        228,        5.7,         ,            ,            
en       ,AmericanStories      ,1950                        ,true  ,newspaper    ,   0.208,   0.027,   0.158,        130,        5.9,         ,            ,            
en       ,AmericanStories      ,1867                        ,true  ,newspaper    ,   0.117,   0.026,   0.151,        225,        5.7,         ,            ,            
en       ,AmericanStories      ,1871                        ,true  ,newspaper    ,   0.111,   0.026,   0.147,        231,        5.7,         ,            ,            
en       ,AmericanStories      ,1952                        ,true  ,newspaper    ,   0.187,   0.025,   0.147,        134,        5.9,         ,            ,            
en       ,AmericanStories      ,1963                        ,true  ,newspaper    ,   0.179,   0.025,   0.143,        137,        5.8,         ,            ,            
en       ,AmericanStories      ,1953                        ,true  ,newspaper    ,   0.176,   0.024,   0.144,        139,        5.9,         ,            ,            
en       ,AmericanStories      ,1882                        ,true  ,newspaper    ,   0.164,   0.024,   0.138,        148,        5.7,         ,            ,            
en       ,AmericanStories      ,1885                        ,true  ,newspaper    ,   0.160,   0.024,   0.136,        149,        5.7,         ,            ,            
en       ,AmericanStories      ,1859                        ,true  ,newspaper    ,   0.134,   0.024,   0.135,        176,        5.7,         ,            ,            
en       ,AmericanStories      ,1856                        ,true  ,newspaper    ,   0.120,   0.024,   0.136,        197,        5.7,         ,            ,            
en       ,AmericanStories      ,1884                        ,true  ,newspaper    ,   0.158,   0.023,   0.131,        146,        5.7,         ,            ,            
en       ,AmericanStories      ,1860                        ,true  ,newspaper    ,   0.122,   0.021,   0.123,        175,        5.7,         ,            ,            
en       ,AmericanStories      ,1866                        ,true  ,newspaper    ,   0.097,   0.021,   0.122,        220,        5.7,         ,            ,            
en       ,AmericanStories      ,1875                        ,true  ,newspaper    ,   0.128,   0.019,   0.108,        148,        5.7,         ,            ,            
en       ,AmericanStories      ,1961                        ,true  ,newspaper    ,   0.160,   0.019,   0.108,        116,        5.8,         ,            ,            
en       ,AmericanStories      ,1845                        ,true  ,newspaper    ,   0.067,   0.016,   0.095,        246,        5.7,         ,            ,            
en       ,AmericanStories      ,1877                        ,true  ,newspaper    ,   0.107,   0.016,   0.091,        151,        5.7,         ,            ,            
en       ,AmericanStories      ,1855                        ,true  ,newspaper    ,   0.084,   0.016,   0.091,        189,        5.7,         ,            ,            
en       ,AmericanStories      ,1959                        ,true  ,newspaper    ,   0.102,   0.014,   0.082,        138,        5.8,         ,            ,            
en       ,AmericanStories      ,1872                        ,true  ,newspaper    ,   0.084,   0.013,   0.075,        157,        5.7,         ,            ,            
en       ,AmericanStories      ,1869                        ,true  ,newspaper    ,   0.072,   0.012,   0.071,        172,        5.7,         ,            ,            
en       ,AmericanStories      ,1858                        ,true  ,newspaper    ,   0.074,   0.011,   0.065,        154,        5.7,         ,            ,            
en       ,AmericanStories      ,1846                        ,true  ,newspaper    ,   0.060,   0.011,   0.063,        181,        5.8,         ,            ,            
en       ,AmericanStories      ,1870                        ,true  ,newspaper    ,   0.067,   0.011,   0.062,        159,        5.8,         ,            ,            
en       ,AmericanStories      ,1957                        ,true  ,newspaper    ,   0.073,   0.010,   0.059,        140,        5.8,         ,            ,            
en       ,AmericanStories      ,1868                        ,true  ,newspaper    ,   0.058,   0.010,   0.058,        174,        5.7,         ,            ,            
en       ,AmericanStories      ,1863                        ,true  ,newspaper    ,   0.061,   0.010,   0.056,        160,        5.7,         ,            ,            
en       ,AmericanStories      ,1852                        ,true  ,newspaper    ,   0.040,   0.009,   0.051,        223,        5.8,         ,            ,            
en       ,AmericanStories      ,1857                        ,true  ,newspaper    ,   0.058,   0.009,   0.051,        151,        5.7,         ,            ,            
en       ,AmericanStories      ,1854                        ,true  ,newspaper    ,   0.055,   0.009,   0.050,        160,        5.8,         ,            ,            
en       ,AmericanStories      ,1844                        ,true  ,newspaper    ,   0.036,   0.008,   0.048,        234,        5.7,         ,            ,            
en       ,AmericanStories      ,1851                        ,true  ,newspaper    ,   0.039,   0.008,   0.044,        192,        5.8,         ,            ,            
en       ,AmericanStories      ,1865                        ,true  ,newspaper    ,   0.039,   0.006,   0.035,        156,        5.7,         ,            ,            
en       ,AmericanStories      ,1956                        ,true  ,newspaper    ,   0.050,   0.006,   0.035,        120,        5.8,         ,            ,            
en       ,AmericanStories      ,1958                        ,true  ,newspaper    ,   0.049,   0.006,   0.035,        122,        5.8,         ,            ,            
en       ,AmericanStories      ,1849                        ,true  ,newspaper    ,   0.027,   0.006,   0.033,        215,        5.7,         ,            ,            
en       ,AmericanStories      ,1848                        ,true  ,newspaper    ,   0.025,   0.006,   0.032,        228,        5.7,         ,            ,            
en       ,AmericanStories      ,1864                        ,true  ,newspaper    ,   0.035,   0.005,   0.031,        153,        5.7,         ,            ,            
en       ,AmericanStories      ,1841                        ,true  ,newspaper    ,   0.020,   0.004,   0.026,        224,        5.8,         ,            ,            
en       ,AmericanStories      ,1850                        ,true  ,newspaper    ,   0.021,   0.004,   0.025,        202,        5.8,         ,            ,            
en       ,AmericanStories      ,1847                        ,true  ,newspaper    ,   0.019,   0.004,   0.023,        218,        5.7,         ,            ,            
en       ,AmericanStories      ,1853                        ,true  ,newspaper    ,   0.025,   0.004,   0.021,        149,        5.8,         ,            ,            
en       ,AmericanStories      ,1842                        ,true  ,newspaper    ,   0.012,   0.003,   0.015,        219,        5.7,         ,            ,            
en       ,AmericanStories      ,1843                        ,true  ,newspaper    ,   0.015,   0.002,   0.013,        156,        5.7,         ,            ,            
en       ,AmericanStories      ,1831                        ,true  ,newspaper    ,   0.007,   0.002,   0.010,        266,        5.8,         ,            ,            
en       ,AmericanStories      ,1827                        ,true  ,newspaper    ,   0.006,   0.002,   0.010,        268,        5.7,         ,            ,            
en       ,AmericanStories      ,1834                        ,true  ,newspaper    ,   0.004,   0.001,   0.006,        254,        5.7,         ,            ,            
en       ,AmericanStories      ,1837                        ,true  ,newspaper    ,   0.005,   0.001,   0.006,        226,        5.7,         ,            ,            
en       ,AmericanStories      ,1833                        ,true  ,newspaper    ,   0.004,   0.001,   0.006,        272,        5.7,         ,            ,            
en       ,AmericanStories      ,1838                        ,true  ,newspaper    ,   0.004,   0.001,   0.006,        237,        5.7,         ,            ,            
en       ,AmericanStories      ,1830                        ,true  ,newspaper    ,   0.003,   0.001,   0.006,        323,        5.8,         ,            ,            
en       ,AmericanStories      ,1825                        ,true  ,newspaper    ,   0.004,   0.001,   0.005,        266,        5.7,         ,            ,            
en       ,AmericanStories      ,1840                        ,true  ,newspaper    ,   0.004,   0.001,   0.005,        204,        5.7,         ,            ,            
en       ,AmericanStories      ,1836                        ,true  ,newspaper    ,   0.004,   0.001,   0.005,        197,        5.8,         ,            ,            
en       ,AmericanStories      ,1835                        ,true  ,newspaper    ,   0.004,   0.001,   0.005,        202,        5.7,         ,            ,            
en       ,AmericanStories      ,1832                        ,true  ,newspaper    ,   0.004,   0.001,   0.005,        214,        5.7,         ,            ,            
en       ,AmericanStories      ,1828                        ,true  ,newspaper    ,   0.003,   0.001,   0.004,        222,        5.8,         ,            ,            
en       ,AmericanStories      ,1826                        ,true  ,newspaper    ,   0.004,   0.001,   0.004,        190,        5.8,         ,            ,            
en       ,AmericanStories      ,1829                        ,true  ,newspaper    ,   0.002,   0.001,   0.004,        291,        5.7,         ,            ,            
en       ,AmericanStories      ,1839                        ,true  ,newspaper    ,   0.003,   0.001,   0.003,        168,        5.7,         ,            ,            
en       ,AmericanStories      ,1824                        ,true  ,newspaper    ,   0.001,   0.000,   0.001,        184,        5.7,         ,            ,            
en       ,AmericanStories      ,1806                        ,true  ,newspaper    ,   0.001,   0.000,   0.001,        166,        5.7,         ,            ,            
en       ,AmericanStories      ,1818                        ,true  ,newspaper    ,   0.001,   0.000,   0.001,        198,        5.7,         ,            ,            
en       ,AmericanStories      ,1805                        ,true  ,newspaper    ,   0.001,   0.000,   0.001,        164,        5.7,         ,            ,            
