,prefix,total_tokens,total_sequences,min_tokens,max_tokens,language,name,subset,ocr,category,M docs,B words,B chars,#words/doc,#chars/word,B tokens,#tokens/words,#chars/tokens,num_epochs,count,reweighted_count,ratio,new_ratio
72,lucie_tokens_65k_grouped/PeS2o_text_document,65364736036,38972211,59,735753,en,PeS2o,,mixed,technical,38.972,42.296,268.963,1085,6.4,65.365,1.55,4.11,2.5,65364736036,163411840090.0,0.028166970224621956,0.052346325815083306
43,lucie_tokens_65k_grouped/FineWebEdu--cc-main-2021_text_document,104336157830,94704848,34,208357,en,FineWebEdu--cc-main-2021,,false,web,94.705,73.032,449.53,771,6.2,104.336,1.43,4.31,1.5,104336157830,156504236745.0,0.04496053421420516,0.05013358740457656
41,lucie_tokens_65k_grouped/FineWebEdu--cc-main-2019_text_document,93640280137,85710244,37,208357,en,FineWebEdu--cc-main-2019,,false,web,85.71,65.275,401.924,762,6.2,93.64,1.43,4.29,1.5,93640280137,140460420205.5,0.04035146689786195,0.044994211656579686
92,lucie_tokens_65k_grouped/RedPajama--fr--2019_text_document,135127843103,117550101,58,173215,fr,RedPajama--fr--2019,,false,web,117.55,86.934,540.989,740,6.2,135.128,1.55,4.0,1.0,135127843103,135127843103.0,0.05822928637091618,0.0432860072921482
45,lucie_tokens_65k_grouped/FineWebEdu--cc-main-2023_text_document,88443690712,76055314,37,203621,en,FineWebEdu--cc-main-2023,,false,web,76.055,62.085,383.741,816,6.2,88.444,1.42,4.34,1.5,88443690712,132665536068.0,0.03811215272817043,0.042497247271822296
94,lucie_tokens_65k_grouped/RedPajama--fr--2021_text_document,127367858440,112016685,57,187972,fr,RedPajama--fr--2021,,false,web,112.017,82.439,514.093,736,6.2,127.368,1.55,4.04,1.0,127367858440,127367858440.0,0.05488535399695444,0.04080022238656408
42,lucie_tokens_65k_grouped/FineWebEdu--cc-main-2020_text_document,84676247899,78390086,41,208357,en,FineWebEdu--cc-main-2020,,false,web,78.39,59.076,363.719,754,6.2,84.676,1.43,4.3,1.5,84676247899,127014371848.5,0.03648868637655398,0.040686988704844745
91,lucie_tokens_65k_grouped/RedPajama--fr--2018_text_document,126646600570,109700672,58,182083,fr,RedPajama--fr--2018,,false,web,109.701,81.345,504.429,742,6.2,126.647,1.56,3.98,1.0,126646600570,126646600570.0,0.05457454957578497,0.04056917915592107
44,lucie_tokens_65k_grouped/FineWebEdu--cc-main-2022_text_document,83989413777,74697295,34,249761,en,FineWebEdu--cc-main-2022,,false,web,74.697,58.788,362.078,787,6.2,83.989,1.43,4.31,1.5,83989413777,125984120665.5,0.03619271583590997,0.04035696449076705
82,lucie_tokens_65k_grouped/RedPajama--de--2022_text_document,118751354688,95691517,64,234622,de,RedPajama--de--2022,,false,web,95.692,60.783,440.845,635,7.3,118.751,1.95,3.71,1.0,118751354688,118751354688.0,0.0511723304411145,0.03804006551824496
113,lucie_tokens_65k_grouped/TheStack--javascript_text_document,58609398363,21108587,2,6407661,code,TheStack,javascript,false,programming,21.109,8.526,141.647,404,16.6,58.609,6.87,2.42,2.0,58609398363,117218796726.0,0.025255960303494734,0.03754913549527252
93,lucie_tokens_65k_grouped/RedPajama--fr--2020_text_document,116895760959,97923145,58,186606,fr,RedPajama--fr--2020,,false,web,97.923,75.141,468.97,767,6.2,116.896,1.56,4.01,1.0,116895760959,116895760959.0,0.05037271804330795,0.03744565624003622
