,prefix,total_tokens,total_sequences,min_tokens,max_tokens,language,name,subset,ocr,category,M docs,B words,B chars,#words/doc,#chars/word,B tokens,#tokens/words,#chars/tokens,num_epochs,count,reweighted_count,ratio,new_ratio
24,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/CroissantAligned--train-augmented_text_document,25350441709,408028828,8,4083,fr-en,CroissantAligned,,false,aligned,408.029,16.911,107.003,41,6.3,25.351,1.5,4.22,3.0,25350441709,76051325127.0,0.07887414788209056,0.13847049180568302
64,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/PeS2o_text_document,15913360572,33051566,59,4096,en,PeS2o,,mixed,technical,38.972,42.296,268.963,1085,6.4,65.365,1.55,4.11,2.5,15913360572,39783401430.0,0.04951206647461881,0.07243564990505669
74,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/RedPajama--es--2023_text_document,37442414144,38547165,63,4096,es,RedPajama--es--2023,,false,web,39.75,28.868,177.18,726,6.1,46.71,1.62,3.79,1.0,37442414144,37442414144.0,0.11649653067811701,0.0681732960241486
73,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/RedPajama--de--2023_text_document,36997409645,38014259,65,4096,de,RedPajama--de--2023,,false,web,39.477,24.704,179.027,626,7.2,48.161,1.95,3.72,1.0,36997409645,36997409645.0,0.11511196503365091,0.06736305383929027
75,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/RedPajama--fr--2023_text_document,33812011484,36558114,57,4096,fr,RedPajama--fr--2023,,false,web,37.638,27.239,169.926,724,6.2,41.707,1.53,4.07,1.0,33812011484,33812011484.0,0.10520107004814637,0.06156323839604833
89,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--java_text_document,15555558907,19064431,2,4096,code,TheStack,java,false,programming,20.152,7.421,89.297,368,12.0,27.68,3.73,3.23,2.0,15555558907,31111117814.0,0.04839881954339674,0.056645584769695154
90,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--javascript_text_document,13179680082,19699161,2,4096,code,TheStack,javascript,false,programming,21.109,8.526,141.647,404,16.6,58.609,6.87,2.42,2.0,13179680082,26359360164.0,0.041006624174806855,0.04799381943045692
98,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--php_text_document,11912952491,15006183,3,4096,code,TheStack,php,false,programming,15.905,4.865,66.844,306,13.7,22.883,4.7,2.92,2.0,11912952491,23825904982.0,0.03706538873260992,0.04338102952267593
70,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Pile--StackExchange_text_document,9515548861,15152211,24,4096,en,Pile,StackExchange,false,forum,15.269,4.534,33.609,297,7.4,10.275,2.27,3.27,2.5,9515548861,23788872152.5,0.02960622211861959,0.04331360197811628
76,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/RedPajama--it--2023_text_document,22067876542,22766195,65,4096,it,RedPajama--it--2023,,false,web,23.323,14.403,94.066,618,6.5,25.915,1.8,3.63,1.0,22067876542,22067876542.0,0.06866093213671606,0.0401800982793523
