consumed_samples,consumed_tokens,iter_time,loss,samples_per_seconds,ngpus,PP,TP,DP,strategy,ntokens_per_second,batch,stage
192,393216,12485.5,1.119620E+01,15.378,8,1,1,8.0,"TP=1,PP=1,DP=[8,16,32,64,128]",31494.144,b192,z1
384,786432,11622.0,1.118532E+01,16.520,8,1,1,8.0,"TP=1,PP=1,DP=[8,16,32,64,128]",33832.96,b192,z1
576,1179648,11439.5,1.119067E+01,16.784,8,1,1,8.0,"TP=1,PP=1,DP=[8,16,32,64,128]",34373.632,b192,z1
768,1572864,11465.5,1.118635E+01,16.746,8,1,1,8.0,"TP=1,PP=1,DP=[8,16,32,64,128]",34295.808,b192,z1
960,1966080,11462.7,1.117697E+01,16.750,8,1,1,8.0,"TP=1,PP=1,DP=[8,16,32,64,128]",34304.0,b192,z1
1152,2359296,11460.7,1.113059E+01,16.753,8,1,1,8.0,"TP=1,PP=1,DP=[8,16,32,64,128]",34310.144,b192,z1
1344,2752512,11448.3,1.098545E+01,16.771,8,1,1,8.0,"TP=1,PP=1,DP=[8,16,32,64,128]",34347.008,b192,z1
1536,3145728,11446.0,1.093811E+01,16.774,8,1,1,8.0,"TP=1,PP=1,DP=[8,16,32,64,128]",34353.152,b192,z1
1728,3538944,11447.0,1.054648E+01,16.773,8,1,1,8.0,"TP=1,PP=1,DP=[8,16,32,64,128]",34351.104,b192,z1
1920,3932160,11454.3,1.051574E+01,16.762,8,1,1,8.0,"TP=1,PP=1,DP=[8,16,32,64,128]",34328.576,b192,z1
2112,4325376,11477.7,1.036879E+01,16.728,8,1,1,8.0,"TP=1,PP=1,DP=[8,16,32,64,128]",34258.944,b192,z1
2304,4718592,11462.5,1.006959E+01,16.750,8,1,1,8.0,"TP=1,PP=1,DP=[8,16,32,64,128]",34304.0,b192,z1
2496,5111808,11465.1,9.741949E+00,16.746,8,1,1,8.0,"TP=1,PP=1,DP=[8,16,32,64,128]",34295.808,b192,z1
