training_steps,training_tokens,training_loss,walltime,gputime,learning_rate
1865,1955594240,5.540690021514893,0.7975208023282855,408.33065079208217,7.161599933169782e-05
3790,4114087936,3.00810284614563,1.6655786928923269,852.7762907608713,0.00015066239575389773
5313,6110314496,2.6936181354522706,2.419871313692319,1238.9741126104673,0.0002237664011772722
7402,9252634624,2.525974779129028,3.525297917627946,1804.9525338255085,0.000299999926937744
9616,13150715904,2.3369024181365967,4.839082616515136,2477.6102996557497,0.00029999829712323844
11655,17390895104,2.276480207443237,6.211945974481024,3180.5163389342842,0.00029999419348314404
13968,23110877184,2.2075621032714845,7.9962738511337434,4094.0922117804766,0.00029998470563441515
15910,28752740352,2.1356527423858642,9.694892240850036,4963.7848273152185,0.0002999709395226091
17655,34566045696,2.187712240219116,11.403844424466975,5838.768345327091,0.000299952196655795
19561,41906601984,2.1478218460083007,13.512215933090056,6918.254557742109,0.0002999218995682895
21599,50454593536,2.108550395965576,15.963069546280945,8173.091607695844,0.00029987728339619935
22929,56033017856,2.08190354347229,17.555688533989233,8988.512529402487,0.0002998427371494472
24879,64211910656,2.063254547119141,20.013122328626352,10246.718632256692,0.00029978438396938145
26435,70738247680,2.0415384721755983,22.095803890509558,11313.051591940894,0.00029973124037496746
28408,79013609472,2.0200176572799684,24.742381052788318,12668.099099027619,0.0002996554540004581
30712,88677285888,2.009900689125061,27.834729681593487,14251.381596975865,0.00029955507488921285
32719,97095254016,1.997526035308838,30.529593802309225,15631.152026782323,0.00029945719870738685
34620,105068625920,1.9822303581237792,33.088940144262565,16941.537353862434,0.00029935556813143194
37346,116502298624,1.9698213863372802,36.75907196609288,18820.644846639556,0.0002991946239490062
39233,124416950272,1.9548299026489258,39.309065435078146,20126.24150276001,0.00029907276621088386
40846,131182362624,1.951894497871399,41.485595499098174,21240.624895538265,0.0002989618224091828
42956,140032344064,1.9350375270843505,44.33258508443755,22698.283563232024,0.0002988072519656271
44939,148349648896,1.9308405590057374,47.01033564593735,24069.291850719925,0.00029865227406844497
46768,156021030912,1.9222344255447388,49.47616130587861,25331.79458860985,0.00029850099235773087
48882,164887789568,1.9197535276412965,52.35843906614072,26807.520801864048,0.00029831615393050015
50706,172538200064,1.912511978149414,54.81750936548799,28066.564795129852,0.00029814810841344297
52358,179467190272,1.907254514694214,57.04858303080124,29208.874511770235,0.0002979890559799969
53857,185754451968,1.9000687837600707,59.087224691490626,30252.6590420432,0.00029783911304548383
56177,195485237248,1.897755184173584,62.22864813516615,31861.067845205067,0.0002975965035147965
58449,205014695936,1.8944290637969972,65.2858384233869,33426.349272774096,0.0002973465307150036
60122,212031766528,1.885751051902771,67.54159698311844,34581.29765535664,0.00029715464916080236
62532,222140039168,1.8851725578308105,70.83456301174779,36267.29626201487,0.0002968665794469416
64820,231736606720,1.875647120475769,73.90514303951494,37839.43323623165,0.0002965803723782301
67145,241488363520,1.8717713451385498,77.07916604916753,39464.53301717377,0.0002962769358418882
69418,251022016512,1.8673745584487915,80.13863182021647,41030.979491950835,0.00029596799868158996
70813,256873070592,1.8599135208129882,82.01500265421159,41991.68135895633,0.0002957723627332598
73257,267123949568,1.8653322410583497,85.29531497185086,43671.20126558764,0.00029541869298554957
74982,274359123968,1.8608362674713135,87.62793199229114,44865.50118005306,0.0002951606293208897
76878,282311524352,1.8511997079849243,90.18867519614679,46176.601700427156,0.00029486900893971324
79546,293501927424,1.8491973686218262,93.81005986021884,48030.75064843205,0.0002944445004686713
81690,302494515200,1.8464100503921508,96.70326836685862,49512.073403831615,0.00029409138369373977
83549,310291726336,1.847438826560974,99.1904628869521,50785.51699811948,0.0002937766257673502
86305,321851228160,1.8410191345214844,102.87963783826878,52674.374573193614,0.00029329530661925673
87821,328209793024,1.8423179483413696,104.95056398590805,53734.68876078492,0.0002930230984929949
89624,335772123136,1.8375876760482788,107.36518641720015,54970.97544560648,0.00029269250808283687
91624,344160731136,1.8310838747024536,110.08795571576191,56365.0333264701,0.00029231709777377546
94363,355648929792,1.8548078060150146,113.81864126870086,58275.14432957484,0.0002917881647590548
96400,364192727040,1.8301151275634766,116.56662833875006,59682.11370944003,0.000291383737931028
98285,372098990080,1.825421872138977,119.117614549062,60988.21864911974,0.0002910011389758438
99761,378289782784,1.828107204437256,121.11521686213217,62010.99103341167,0.0002906959562096745
101660,386254766080,1.8232884979248047,123.67062551266181,63319.36026248285,0.0002902960986830294
102797,391023689728,1.8284022760391236,125.20398345403945,64104.439528468196,0.0002900528197642416
104466,398023983104,1.8237161207199097,127.48315444020703,65271.375073386,0.0002896904479712248
106544,406739746816,1.8209293365478516,130.37456855220438,66751.77909872864,0.0002892306074500084
108654,415589728256,1.813926682472229,133.23329634167231,68215.44772693623,0.0002887538284994662
