model_name,expe_name,training_phase,intermediate_checkpoint,add_bos_token,fewshot_as_multiturn,chat_template,training_steps,training_tokens,training_steps_in_phase,training_tokens_in_phase,benchmark,dataset,score,stderr,score_name,num_fewshot,"acc,none","acc_stderr,none","acc_norm,none","acc_norm_stderr,none","exact_match,strict-match","exact_match_stderr,strict-match","exact_match,flexible-extract","exact_match_stderr,flexible-extract","bleu_max,none","bleu_max_stderr,none","bleu_acc,none","bleu_acc_stderr,none","bleu_diff,none","bleu_diff_stderr,none","rouge1_max,none","rouge1_max_stderr,none","rouge1_acc,none","rouge1_acc_stderr,none","rouge1_diff,none","rouge1_diff_stderr,none","rouge2_max,none","rouge2_max_stderr,none","rouge2_acc,none","rouge2_acc_stderr,none","rouge2_diff,none","rouge2_diff_stderr,none","rougeL_max,none","rougeL_max_stderr,none","rougeL_acc,none","rougeL_acc_stderr,none","rougeL_diff,none","rougeL_diff_stderr,none","rouge1,none","rouge1_stderr,none","f1,none","f1_stderr,none","exact,none","exact_stderr,none","is_included,none","is_included_stderr,none","inst_level_loose_acc,none","inst_level_loose_acc_stderr,none","inst_level_strict_acc,none","inst_level_strict_acc_stderr,none","prompt_level_loose_acc,none","prompt_level_loose_acc_stderr,none","exact_match,none","exact_match_stderr,none","prompt_level_strict_acc,none","prompt_level_strict_acc_stderr,none"
Lucie-7B,pretraining,1_main,False,True,False,False,753851.0,3121742086144.0,753851.0,3121742086144.0,french_bench,french_bench_arc_challenge,0.4696321642429427,0.014603134472811797,"acc_norm,none",5.0,0.41488451668092385,0.014416604608618249,0.4696321642429427,0.014603134472811797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie-7B,pretraining,1_main,False,True,False,False,753851.0,3121742086144.0,753851.0,3121742086144.0,french_bench,french_bench_grammar,0.8487394957983193,0.03298442930940653,"acc,none",5.0,0.8487394957983193,0.03298442930940653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie-7B,pretraining,1_main,False,True,False,False,753851.0,3121742086144.0,753851.0,3121742086144.0,french_bench,french_bench_hellaswag,0.6629899336046262,0.004891828517253132,"acc_norm,none",5.0,0.49207539087599056,0.00517382543104228,0.6629899336046262,0.004891828517253132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie-7B,pretraining,1_main,False,True,False,False,753851.0,3121742086144.0,753851.0,3121742086144.0,french_bench,french_bench_vocab,0.8487394957983193,0.03298442930940653,"acc,none",5.0,0.8487394957983193,0.03298442930940653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie-7B,pretraining,1_main,False,True,False,False,753851.0,3121742086144.0,753851.0,3121742086144.0,french_bench_gen,french_bench_fquadv2_genq,0.2949347500829571,N/A,"rouge1,none",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2949347500829571,N/A,0.2672837899124332,0.010810218530179796,,,,,,,,,,,,,,
Lucie-7B,pretraining,1_main,False,True,False,False,753851.0,3121742086144.0,753851.0,3121742086144.0,french_bench_gen,french_bench_fquadv2_hasAns,0.7092664144400589,N/A,"rouge1,none",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7092664144400589,N/A,0.7008990992487192,0.01844513277837674,0.4675,0.02497837410506003,,,,,,,,,,,,
Lucie-7B,pretraining,1_main,False,True,False,False,753851.0,3121742086144.0,753851.0,3121742086144.0,french_bench_gen,french_bench_multifquad,0.5311286343030763,N/A,"rouge1,none",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5311286343030763,N/A,0.5177796778197454,0.016054139084234746,0.0825,0.013773476199440068,,,,,,,,,,,,
Lucie-7B,pretraining,1_main,False,True,False,False,753851.0,3121742086144.0,753851.0,3121742086144.0,french_bench_gen,french_bench_orangesum_abstract,0.314291837204052,N/A,"rouge1,none",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314291837204052,N/A,,,,,,,,,,,,,,,,
Lucie-7B,pretraining,1_main,False,True,False,False,753851.0,3121742086144.0,753851.0,3121742086144.0,french_bench_gen,french_bench_trivia,0.7142374664808877,N/A,"rouge1,none",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7142374664808877,N/A,0.7097803804382754,0.020668564073742048,0.5894736842105263,0.025268712068244548,0.5578947368421052,0.025510523434968492,,,,,,,,,,
Lucie-7B,pretraining,1_main,False,True,False,False,753851.0,3121742086144.0,753851.0,3121742086144.0,leaderboard,leaderboard,0.30587624854066675,0.005000925489778836,"acc_norm,none",,0.12150930851063829,0.002978670699080766,0.30587624854066675,0.005000925489778836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3273381294964029,N/A,0.3213429256594724,N/A,0.1977818853974122,0.017141254719084925,0.008308157099697885,0.0024987959372655137,0.19408502772643252,0.017019380550749412
