tokenizer,vocabulary size (tokens),language,dataset,fertility,average token length,processing time,# characters,# words,# tokens
CroissantLLM,32000,Code,c++,4.983,2.356,27.19450330734253,25005734,2130370,10615015
CroissantLLM,32000,Code,javascript,6.314,2.25,29.173091411590576,25173607,1771785,11187233
CroissantLLM,32000,Code,python,5.032,2.338,28.10979461669922,25010643,2125802,10697043
CroissantLLM,32000,Code,tex,3.886,2.501,25.63155174255371,25358297,2608822,10137977
CroissantLLM,32000,English,Europarl.en,1.253,4.81,176.36238288879397,170503545,28287016,35445591
CroissantLLM,32000,English,Gutenberg.en,1.617,3.6,771.0401978492737,827487238,142129809,229833281
CroissantLLM,32000,English,Wikipedia.en,1.754,3.128,909.6419835090636,992528730,180958556,317349000
CroissantLLM,32000,French,Europarl.fr,1.291,4.96,148.51438236236572,177552772,27727351,35795957
CroissantLLM,32000,French,GallicaMonographies,1.621,3.694,620.6562423706055,607915815,101527426,164570673
CroissantLLM,32000,French,Gutenberg.fr,1.681,3.653,734.5860197544098,726060299,118237740,198776424
CroissantLLM,32000,French,Persee,1.727,3.618,863.6286585330963,913038858,146092571,252343015
CroissantLLM,32000,French,Wikipedia.fr,1.754,3.228,936.844828605652,1032611019,182384258,319923468
CroissantLLM,32000,German,Europarl.de,2.652,2.732,188.721570968628,157768481,21771862,57747562
CroissantLLM,32000,German,Gutenberg.de,2.594,2.553,246.02382159233093,355733044,53718437,139346852
CroissantLLM,32000,German,Wikipedia.de,2.625,2.499,1045.5704746246338,1269036036,193425915,507780585
CroissantLLM,32000,Italian,Gutenberg.it,2.338,2.695,141.91139340400696,211432934,33557403,78455245
CroissantLLM,32000,Italian,Wikipedia.it,2.206,2.566,869.227920293808,945064169,166986641,368369169
CroissantLLM,32000,Spanish,Europarl.es,2.025,3.06,170.3529121875763,165225813,26660776,53992213
CroissantLLM,32000,Spanish,Gutenberg.es,2.223,2.68,102.298015832901,151995591,25509320,56712479
CroissantLLM,32000,Spanish,Wikipedia.es,2.148,2.722,969.3582096099854,1161930093,198737225,426918831
Llama-2,32000,Code,c++,4.6,2.552,25.375081777572632,25005734,2130370,9800011
Llama-2,32000,Code,javascript,5.678,2.502,26.771065711975098,25173607,1771785,10060251
Llama-2,32000,Code,python,4.125,2.852,25.525871753692627,25010643,2125802,8768411
Llama-2,32000,Code,tex,4.004,2.427,23.752727270126343,25358297,2608822,10446512
Llama-2,32000,English,Europarl.en,1.317,4.578,117.03215265274048,170503545,28287016,37247593
Llama-2,32000,English,Gutenberg.en,1.698,3.428,713.6577091217041,827487238,142129809,241367349
Llama-2,32000,English,Wikipedia.en,1.853,2.961,850.0281805992126,992528730,180958556,335251928
Llama-2,32000,French,Europarl.fr,1.767,3.624,216.32372903823853,177552772,27727351,48994824
Llama-2,32000,French,GallicaMonographies,2.017,2.968,520.2413654327393,607915815,101527426,204829728
Llama-2,32000,French,Gutenberg.fr,2.055,2.989,582.2181005477905,726060299,118237740,242927574
Llama-2,32000,French,Persee,2.085,2.997,898.5686273574829,913038858,146092571,304608372
Llama-2,32000,French,Wikipedia.fr,2.085,2.716,861.0648670196533,1032611019,182384258,380255814
Llama-2,32000,German,Europarl.de,1.982,3.657,107.22927808761597,157768481,21771862,43143458
Llama-2,32000,German,Gutenberg.de,2.157,3.07,283.0259356498718,355733044,53718437,115888926
Llama-2,32000,German,Wikipedia.de,2.269,2.892,988.7274730205536,1269036036,193425915,438865872
Llama-2,32000,Italian,Gutenberg.it,2.16,2.918,171.9945387840271,211432934,33557403,72469176
Llama-2,32000,Italian,Wikipedia.it,2.108,2.685,799.8141901493073,945064169,166986641,351927830
Llama-2,32000,Spanish,Europarl.es,1.72,3.603,117.85985445976256,165225813,26660776,45860455
Llama-2,32000,Spanish,Gutenberg.es,1.996,2.985,120.74421167373656,151995591,25509320,50919705
Llama-2,32000,Spanish,Wikipedia.es,1.965,2.975,948.9174916744232,1161930093,198737225,390545967
Lucie2.9,32000,Code,c++,4.582,2.561,17.64183473587036,25005734,2130370,9762367
Lucie2.9,32000,Code,javascript,5.904,2.406,18.08914351463318,25173607,1771785,10460688
Lucie2.9,32000,Code,python,4.223,2.786,16.835681438446045,25010643,2125802,8976774
Lucie2.9,32000,Code,tex,4.121,2.359,15.921469926834106,25358297,2608822,10751461
Lucie2.9,32000,English,Europarl.en,1.296,4.65,133.26714634895325,170503545,28287016,36663504
Lucie2.9,32000,English,Gutenberg.en,1.692,3.441,820.0473260879517,827487238,142129809,240501584
Lucie2.9,32000,English,Wikipedia.en,1.784,3.075,604.3170034885406,992528730,180958556,322778677
Lucie2.9,32000,French,Europarl.fr,1.446,4.43,145.26881909370422,177552772,27727351,40082882
Lucie2.9,32000,French,GallicaMonographies,1.801,3.324,624.815770149231,607915815,101527426,182881314
Lucie2.9,32000,French,Gutenberg.fr,1.794,3.422,686.7312002182007,726060299,118237740,212157783
Lucie2.9,32000,French,Persee,1.888,3.31,640.2510151863098,913038858,146092571,275842353
Lucie2.9,32000,French,Wikipedia.fr,1.83,3.093,641.5890030860901,1032611019,182384258,333839707
Lucie2.9,32000,German,Europarl.de,1.899,3.816,122.32812166213988,157768481,21771862,41346442
Lucie2.9,32000,German,Gutenberg.de,2.135,3.102,326.93674635887146,355733044,53718437,114684179
Lucie2.9,32000,German,Wikipedia.de,2.222,2.953,755.6651487350464,1269036036,193425915,429738197
Lucie2.9,32000,Italian,Gutenberg.it,2.112,2.983,205.82970309257507,211432934,33557403,70876421
Lucie2.9,32000,Italian,Wikipedia.it,2.027,2.792,579.4600291252136,945064169,166986641,338443340
Lucie2.9,32000,Spanish,Europarl.es,1.593,3.89,128.99964499473572,165225813,26660776,42471487
Lucie2.9,32000,Spanish,Gutenberg.es,1.946,3.062,140.48454451560974,151995591,25509320,49636610
Lucie2.9,32000,Spanish,Wikipedia.es,1.887,3.099,711.713171005249,1161930093,198737225,374982188
Mistral,32000,Code,c++,4.467,2.628,14.99535346031189,25005734,2130370,9516433
Mistral,32000,Code,javascript,5.632,2.523,14.980505466461182,25173607,1771785,9978639
Mistral,32000,Code,python,4.08,2.884,14.253195524215698,25010643,2125802,8672823
Mistral,32000,Code,tex,3.941,2.467,13.457568168640137,25358297,2608822,10280602
Mistral,32000,English,Europarl.en,1.274,4.732,117.20545625686646,170503545,28287016,36029945
Mistral,32000,English,Gutenberg.en,1.665,3.496,707.5101461410522,827487238,142129809,236674706
Mistral,32000,English,Wikipedia.en,1.833,2.993,838.1234846115112,992528730,180958556,331608458
Mistral,32000,French,Europarl.fr,1.869,3.426,219.31525135040283,177552772,27727351,51830688
Mistral,32000,French,GallicaMonographies,2.091,2.864,517.1148767471313,607915815,101527426,212264702
Mistral,32000,French,GallicaMonographies,2.091,2.864,520.2212011814117,607915815,101527426,212264702
Mistral,32000,French,Gutenberg.fr,2.136,2.875,579.2752962112427,726060299,118237740,252543919
Mistral,32000,French,Persee,2.156,2.899,892.9471652507782,913038858,146092571,314964259
Mistral,32000,French,Wikipedia.fr,2.151,2.633,852.9633319377899,1032611019,182384258,392225209
Mistral,32000,German,Europarl.de,2.182,3.321,105.88241696357728,157768481,21771862,47510724
Mistral,32000,German,Gutenberg.de,2.291,2.89,276.5981731414795,355733044,53718437,123088076
Mistral,32000,German,Wikipedia.de,2.399,2.735,979.4252026081084,1269036036,193425915,463950147
Mistral,32000,Italian,Gutenberg.it,2.241,2.812,172.08589601516724,211432934,33557403,75198224
Mistral,32000,Italian,Wikipedia.it,2.175,2.602,796.248162984848,945064169,166986641,363257180
Mistral,32000,Spanish,Europarl.es,1.806,3.431,117.30083560943604,165225813,26660776,48153142
