language,name,subset,#pages,#words,#characters,#words/page,#chars/page,#chars/word
fr,GallicaPress,html,1797892,46988170117,286245177544,26135,159212,6.1
fr,GallicaPress,txt,1188561,22775355230,136313155215,19162,114688,6.0
fr,GallicaMono,,289577,16407292362,98602844360,56660,340506,6.0
fr,Hal,,356021,9653254994,60117793102,27114,168860,6.2
fr,Theses,,106394,8536110428,53567740442,80231,503485,6.3
fr,Persee,,1099999,3250328411,20314031268,2955,18467,6.2
fr,OpenEdition,,942485,2224514850,14458594144,2360,15341,6.5
fr,WikipediaFr,,2613323,1697780555,9787278373,650,3745,5.8
fr,OtherFr,questions_ecrites_parlement,188860,108003167,704561718,572,3731,6.5
fr,OtherFr,interventions_parlement,1831924,104332219,654405402,57,357,6.3
fr,OtherFr,LEGI,621499,88464694,576432128,142,927,6.5
fr,OtherFr,amendements_parlement,673003,45207722,273891459,67,407,6.1
fr,ClaireFr,AssembleeNationale,4494,129609524,822368210,28841,182992,6.3
fr,ClaireFr,Senat,739,51457486,329727596,69631,446181,6.4
fr,ClaireFr,Theatre,31165,16775618,96032694,538,3081,5.7
fr,DiscoursPublics,,109750,162631814,1025619517,1482,9345,6.3
fr,EuroparlFr,,10304,52845204,338630065,5129,32864,6.4
code,TheStack,javascript,21108587,8526481238,141646905342,404,6710,16.6
code,TheStack,java,20151565,7421094319,89297025050,368,4431,12.0
code,TheStack,c,8625559,5915525675,57428274786,686,6658,9.7
code,TheStack,python,12962249,5434283210,64304133602,419,4961,11.8
code,TheStack,php,15904518,4865413066,66844317623,306,4203,13.7
code,TheStack,c++,6377914,4583951458,50891569637,719,7979,11.1
code,TheStack,c#,10839399,3574049078,46285805585,330,4270,13.0
code,TheStack,go,4730461,2734680471,25738366488,578,5441,9.4
code,TheStack,typescript,10637070,2616733601,28815312118,246,2709,11.0
code,TheStack,rust,1386585,871790999,9528801527,629,6872,10.9
code,TheStack,ruby,3405374,646038604,7138982989,190,2096,11.1
code,TheStack,tex,547888,573047812,5444493601,1046,9937,9.5
code,TheStack,swift,1756144,553236205,6133895664,315,3493,11.1
code,TheStack,scala,1362426,456777996,4861937377,335,3569,10.6
code,TheStack,kotlin,2242771,453747286,5769239921,202,2572,12.7
code,TheStack,tex_only,398109,393589463,3804780726,989,9557,9.7
code,TheStack,lua,558861,318418587,3279278780,570,5868,10.3
code,TheStack,dart,932583,308370803,3863824957,331,4143,12.5
code,TheStack,haskell,544969,307009935,2363568767,563,4337,7.7
code,TheStack,perl,392108,296883654,2633881479,757,6717,8.9
code,TheStack,assembly,248396,208753384,1575336771,840,6342,7.5
code,TheStack,fortran,165446,191609175,1843039389,1158,11140,9.6
code,TheStack,julia,298672,152189014,1539367715,510,5154,10.1
code,TheStack,ocaml,159734,129666344,1107387442,812,6933,8.5
code,TheStack,mathematica,26895,119784446,1719960404,4454,63951,14.4
code,TheStack,elixir,282110,73132004,736879113,259,2612,10.1
code,TheStack,erlang,99368,65714013,725989976,661,7306,11.0
code,TheStack,clojure,126191,44848096,491593795,355,3896,11.0
code,TheStack,r,39194,27847993,304631275,711,7772,10.9
code,TheStack,matlab,967,8645429,37215167,8940,38485,4.3
code,TheStack,racket,4201,4793637,37767420,1141,8990,7.9
en,AmericanStories,1922,2405974,344174978,1983370104,143,824,5.8
en,AmericanStories,1921,2334112,327959736,1887920918,141,809,5.8
en,AmericanStories,1920,2041192,273610712,1572695231,134,770,5.7
en,AmericanStories,1909,1926228,271393297,1540500393,141,800,5.7
en,AmericanStories,1919,1981192,264506099,1516387327,134,765,5.7
en,AmericanStories,1918,1920102,261283618,1496337195,136,779,5.7
en,AmericanStories,1908,1842874,260611647,1480984950,141,804,5.7
en,AmericanStories,1914,1931901,251703137,1434148978,130,742,5.7
en,AmericanStories,1915,1878654,245134531,1395598268,130,743,5.7
en,AmericanStories,1907,1714613,242792742,1376896810,142,803,5.7
en,AmericanStories,1906,1683643,240372485,1365507301,143,811,5.7
en,AmericanStories,1912,1774149,236542177,1343565498,133,757,5.7
en,AmericanStories,1916,1838797,235598521,1345195618,128,732,5.7
en,AmericanStories,1913,1822206,233628692,1328255849,128,729,5.7
en,AmericanStories,1910,1684263,232817778,1322709175,138,785,5.7
en,AmericanStories,1917,1810757,231332840,1321163121,128,730,5.7
en,AmericanStories,1905,1635134,229726066,1305260175,140,798,5.7
en,AmericanStories,1901,1468648,220390340,1253133357,150,853,5.7
en,AmericanStories,1911,1510259,205699769,1166835113,136,773,5.7
en,AmericanStories,1902,1417935,203559712,1155979186,144,815,5.7
en,AmericanStories,1898,1323842,190778718,1085690985,144,820,5.7
en,AmericanStories,1897,1275895,186188105,1057908172,146,829,5.7
en,AmericanStories,1903,1319686,184967562,1049334066,140,795,5.7
en,AmericanStories,1896,1175701,184692104,1053224814,157,896,5.7
en,AmericanStories,1904,1340868,180131600,1023216063,134,763,5.7
en,AmericanStories,1899,1218682,174306027,991163892,143,813,5.7
en,AmericanStories,1900,1118970,158259540,900325595,141,805,5.7
en,AmericanStories,1895,897766,132490676,752623844,148,838,5.7
en,AmericanStories,1894,795408,117959476,670461106,148,843,5.7
en,AmericanStories,1923,880372,116479902,672692334,132,764,5.8
en,AmericanStories,1924,845520,115222015,666253619,136,788,5.8
en,AmericanStories,1893,656805,96568242,547761074,147,834,5.7
en,AmericanStories,1891,620461,96474987,547667419,155,883,5.7
en,AmericanStories,1934,654342,91891208,536885715,140,820,5.8
en,AmericanStories,1932,664615,91261747,533709949,137,803,5.8
en,AmericanStories,1933,642380,90685663,530076421,141,825,5.8
en,AmericanStories,1937,676549,88563614,519494101,131,768,5.9
en,AmericanStories,1936,662015,88251987,517253993,133,781,5.9
en,AmericanStories,1935,635554,87421389,511429871,138,805,5.9
en,AmericanStories,1938,665274,87268701,512060867,131,770,5.9
en,AmericanStories,1925,662322,86361342,498352468,130,752,5.8
en,AmericanStories,1890,540615,85888539,485842018,159,899,5.7
en,AmericanStories,1945,588477,85300273,499396381,145,849,5.9
en,AmericanStories,1888,547165,85257006,482536949,156,882,5.7
en,AmericanStories,1941,637200,85051073,500236052,133,785,5.9
en,AmericanStories,1889,536750,84525759,477419308,157,889,5.6
en,AmericanStories,1926,623765,81148335,468356176,130,751,5.8
en,AmericanStories,1892,527044,78295760,445328344,149,845,5.7
en,AmericanStories,1946,470895,77661942,454531267,165,965,5.9
en,AmericanStories,1939,556283,74742152,439118573,134,789,5.9
en,AmericanStories,1887,494559,74274039,420026681,150,849,5.7
en,AmericanStories,1942,523923,72607462,425943467,139,813,5.9
en,AmericanStories,1947,393086,68758373,401392408,175,1021,5.8
en,AmericanStories,1940,496662,67138767,394432264,135,794,5.9
en,AmericanStories,1927,504835,66140551,382048703,131,757,5.8
en,AmericanStories,1948,396660,65636210,383099871,165,966,5.8
en,AmericanStories,1886,423718,65245172,369062626,154,871,5.7
en,AmericanStories,1943,467200,65128220,380255412,139,814,5.8
en,AmericanStories,1928,487302,64877832,376247011,133,772,5.8
en,AmericanStories,1944,433769,64303556,376760102,148,869,5.9
en,AmericanStories,1883,387589,63581039,361130600,164,932,5.7
en,AmericanStories,1931,493816,62456946,363216307,126,736,5.8
en,AmericanStories,1930,492695,62251645,360751894,126,732,5.8
en,AmericanStories,1949,419854,61261701,359096538,146,855,5.9
en,AmericanStories,1876,288199,59163256,338284877,205,1174,5.7
