language ,name                ,subset       , M pages, B words, B chars,#words/page,#chars/word
---      ,---                 ,---          , 251.513, 223.725,1685.472,        890,  7.5
fr       ,---                 ,---          ,  13.198, 108.991, 663.055,       8258,  6.1
fr       ,GallicaPress        ,html         ,   1.589,  42.511, 258.290,      26750,  6.1
fr       ,GallicaPress        ,txt          ,   1.281,  25.057, 150.202,      19561,  6.0
fr       ,GallicaMonographies ,             ,   0.262,  14.971,  89.722,      57130,  6.0
fr       ,HAL                 ,             ,   0.346,   9.298,  57.892,      26854,  6.2
fr       ,Theses              ,             ,   0.103,   8.294,  52.048,      80375,  6.3
fr       ,Persee              ,             ,   1.094,   3.250,  20.314,       2970,  6.2
fr       ,OpenEdition         ,             ,   0.939,   2.225,  14.459,       2369,  6.5
fr       ,Wikipedia.fr        ,             ,   2.648,   1.726,   9.879,        652,  5.7
fr       ,Wikiother.fr        ,wikisource   ,   0.186,   0.523,   3.080,       2818,  5.9
fr       ,Parlement           ,             ,   3.315,   0.345,   2.196,        104,  6.4
fr       ,Gutenberg.fr        ,             ,   0.003,   0.226,   1.385,      68357,  6.1
fr       ,Claire.fr           ,             ,   0.039,   0.209,   1.314,       5321,  6.3
fr       ,DiscoursPublics     ,             ,   0.110,   0.163,   1.025,       1481,  6.3
fr       ,LEGI                ,             ,   0.621,   0.088,   0.563,        141,  6.4
fr       ,Wikiother.fr        ,wiktionary   ,   0.650,   0.053,   0.347,         82,  6.5
fr       ,Europarl.fr         ,             ,   0.010,   0.053,   0.339,       5129,  6.4
en       ,---                 ,---          , 105.828,  59.114, 365.142,        559,  6.2
en       ,Pes2o               ,s2orc        ,   8.242,  36.092, 226.904,       4379,  6.3
en       ,AmericanStories     ,             ,  59.125,   8.800,  50.483,        149,  5.7
en       ,Pes2o               ,s2ag         ,  30.569,   5.926,  40.273,        194,  6.8
en       ,Wikipedia.en        ,             ,   6.893,   4.708,  26.616,        683,  5.7
en       ,Gutenberg.en        ,             ,   0.039,   2.715,  15.817,      70511,  5.8
en       ,Claire.en           ,             ,   0.949,   0.818,   4.709,        861,  5.8
en       ,Europarl.en         ,             ,   0.011,   0.056,   0.339,       5071,  6.0
de       ,---                 ,---          ,   2.889,   1.841,  12.161,        637,  6.6
de       ,Wikipedia.de        ,             ,   2.877,   1.709,  11.252,        594,  6.6
de       ,Gutenberg.de        ,             ,   0.002,   0.088,   0.583,      54619,  6.6
de       ,Europarl.de         ,             ,   0.010,   0.045,   0.327,       4444,  7.2
es       ,---                 ,---          ,   1.958,   1.347,   7.781,        688,  5.8
es       ,Wikipedia.es        ,             ,   1.947,   1.245,   7.161,        639,  5.8
es       ,Europarl.es         ,             ,   0.010,   0.052,   0.325,       5086,  6.2
es       ,Gutenberg.es        ,             ,   0.001,   0.050,   0.296,      72564,  5.9
it       ,---                 ,---          ,   1.871,   1.127,   6.583,        602,  5.8
it       ,Wikipedia.it        ,             ,   1.870,   1.060,   6.161,        567,  5.8
it       ,Gutenberg.it        ,             ,   0.001,   0.067,   0.423,      70019,  6.3
code     ,---                 ,---          , 125.768,  51.305, 630.749,        408, 12.3
code     ,TheStack            ,javascript   ,  21.109,   8.526, 141.647,        404, 16.6
code     ,TheStack            ,java         ,  20.152,   7.421,  89.297,        368, 12.0
code     ,TheStack            ,c            ,   8.626,   5.916,  57.428,        686,  9.7
code     ,TheStack            ,python       ,  12.962,   5.434,  64.304,        419, 11.8
code     ,TheStack            ,php          ,  15.905,   4.865,  66.844,        306, 13.7
code     ,TheStack            ,c++          ,   6.378,   4.584,  50.892,        719, 11.1
code     ,TheStack            ,c#           ,  10.839,   3.574,  46.286,        330, 13.0
code     ,TheStack            ,go           ,   4.730,   2.735,  25.738,        578,  9.4
code     ,TheStack            ,typescript   ,  10.637,   2.617,  28.815,        246, 11.0
code     ,TheStack            ,rust         ,   1.387,   0.872,   9.529,        629, 10.9
code     ,TheStack            ,ruby         ,   3.405,   0.646,   7.139,        190, 11.1
code     ,TheStack            ,swift        ,   1.756,   0.553,   6.134,        315, 11.1
code     ,TheStack            ,scala        ,   1.362,   0.457,   4.862,        335, 10.6
code     ,TheStack            ,kotlin       ,   2.243,   0.454,   5.769,        202, 12.7
code     ,TheStack            ,tex          ,   0.398,   0.394,   3.805,        989,  9.7
code     ,TheStack            ,lua          ,   0.559,   0.318,   3.279,        570, 10.3
code     ,TheStack            ,dart         ,   0.933,   0.308,   3.864,        331, 12.5
code     ,TheStack            ,haskell      ,   0.545,   0.307,   2.364,        563,  7.7
code     ,TheStack            ,perl         ,   0.392,   0.297,   2.634,        757,  8.9
code     ,TheStack            ,assembly     ,   0.248,   0.209,   1.575,        840,  7.5
code     ,TheStack            ,fortran      ,   0.165,   0.192,   1.843,       1158,  9.6
code     ,TheStack            ,julia        ,   0.299,   0.152,   1.539,        510, 10.1
code     ,TheStack            ,ocaml        ,   0.160,   0.130,   1.107,        812,  8.5
code     ,TheStack            ,mathematica  ,   0.027,   0.120,   1.720,       4454, 14.4
code     ,TheStack            ,elixir       ,   0.282,   0.073,   0.737,        259, 10.1
code     ,TheStack            ,erlang       ,   0.099,   0.066,   0.726,        661, 11.0
code     ,TheStack            ,clojure      ,   0.126,   0.045,   0.492,        355, 11.0
code     ,TheStack            ,r            ,   0.039,   0.028,   0.305,        711, 10.9
code     ,TheStack            ,matlab       ,   0.001,   0.009,   0.037,       8940,  4.3
code     ,TheStack            ,racket       ,   0.004,   0.005,   0.038,       1141,  7.9
