language ,name                ,subset       , M pages, B words, B chars,#words/page,#chars/word, B tokens,#tokens/words,#chars/tokens
---      ,---                 ,---          , 669.235, 246.810,1831.414,        369,        7.4,  599.615,            ,            
fr       ,---                 ,---          ,  13.745, 109.658, 667.129,       7978,        6.1,  213.290,        1.95,        3.13
en       ,---                 ,---          , 106.576,  61.989, 382.487,        582,        6.2,  103.849,        1.68,        3.68
fr-en    ,---                 ,---          , 410.032,  17.016, 107.658,         41,        6.3,   27.135,            ,            
de       ,---                 ,---          ,   3.137,   2.554,  17.361,        814,        6.8,    5.906,        2.31,        2.94
es       ,---                 ,---          ,   2.205,   2.136,  12.677,        969,        5.9,    4.128,        1.93,        3.07
it       ,---                 ,---          ,   2.117,   1.859,  11.464,        878,        6.2,    3.930,        2.11,        2.92
es-en    ,---                 ,---          ,   1.961,   0.103,   0.631,         52,        6.1,    0.157,        1.53,        4.02
it-en    ,---                 ,---          ,   1.901,   0.100,   0.638,         52,        6.4,    0.165,        1.65,        3.87
de-fr    ,---                 ,---          ,   1.792,   0.091,   0.621,         51,        6.8,         ,            ,            
code     ,---                 ,---          , 125.768,  51.305, 630.749,        408,       12.3,  241.055,        4.70,        2.62
fr       ,GallicaPress        ,html         ,   1.589,  42.511, 258.290,      26750,        6.1,         ,            ,            
fr       ,GallicaPress        ,txt          ,   1.281,  25.057, 150.202,      19561,        6.0,         ,            ,            
fr       ,GallicaMonographies ,             ,   0.262,  14.971,  89.722,      57130,        6.0,   27.128,        1.81,        3.31
fr       ,HAL                 ,             ,   0.346,   9.298,  57.892,      26854,        6.2,   17.171,        1.85,        3.37
fr       ,Theses              ,             ,   0.103,   8.294,  52.048,      80375,        6.3,   17.607,        2.12,        2.96
fr       ,Persee              ,             ,   1.094,   3.250,  20.314,       2970,        6.2,    6.129,        1.89,        3.31
fr       ,OpenEdition         ,             ,   0.939,   2.225,  14.459,       2369,        6.5,    3.879,        1.74,        3.73
fr       ,Wikipedia.fr        ,             ,   2.648,   1.726,   9.879,        652,        5.7,    3.110,        1.80,        3.18
fr       ,OpenData            ,inca-1       ,   0.247,   0.257,   1.547,       1043,        6.0,    0.423,        1.64,        3.66
fr       ,OpenData            ,inca-2       ,   0.127,   0.192,   1.149,       1512,        6.0,    0.314,        1.64,        3.66
