language ,name                ,subset       , M pages, B words, B chars,#words/page,#chars/word
---      ,---                 ,---          ,   4.783,   2.650,  15.689,        554,  5.9
fr       ,---                 ,---          ,   1.381,   1.130,   6.592,        818,  5.8
fr       ,Wikipedia.fr        ,             ,   1.323,   0.863,   4.943,        652,  5.7
fr       ,Persee              ,             ,   0.050,   0.148,   0.927,       2970,  6.3
fr       ,GallicaMonographies ,             ,   0.002,   0.094,   0.561,      53463,  6.0
fr       ,Europarl.fr         ,             ,   0.006,   0.025,   0.161,       4480,  6.4
en       ,---                 ,---          ,   2.361,   1.102,   6.169,        467,  5.6
en       ,Wikipedia.en        ,             ,   2.355,   1.074,   6.000,        456,  5.6
en       ,Europarl.en         ,             ,   0.006,   0.028,   0.169,       4835,  6.0
es       ,---                 ,---          ,   0.378,   0.129,   0.759,        341,  5.9
es       ,Wikipedia.es        ,             ,   0.373,   0.103,   0.600,        276,  5.8
es       ,Europarl.es         ,             ,   0.005,   0.026,   0.159,       4986,  6.2
de       ,---                 ,---          ,   0.238,   0.115,   0.769,        482,  6.7
de       ,Wikipedia.de        ,             ,   0.234,   0.092,   0.600,        392,  6.5
de       ,Europarl.de         ,             ,   0.005,   0.023,   0.169,       4830,  7.2
it       ,---                 ,---          ,   0.314,   0.106,   0.600,        337,  5.7
it       ,Wikipedia.it        ,             ,   0.314,   0.106,   0.600,        337,  5.7
code     ,---                 ,---          ,   0.111,   0.068,   0.800,        613, 11.8
code     ,TheStack            ,             ,   0.111,   0.068,   0.800,        613, 11.8
