,expe,filename,slurm_id,vocab_size,nodes,nGPUs,tp,pp,dp,z,gbz,mbz,num_microbatch,num_iterations,TFLOPs,samples_per_seconds,token_per_second,estimated_time
0,1_seq4k,lucie7b-seq4k-32nodes-tp2-pp4-z0-gbz1024-mbz4-2063180.iterations,2063180,32k,32,256,2,4,32,0,1024,4,8,3,96.94,132.613,543182.848,21.3078783998608
1,1_seq4k,lucie7b-seq4k-32nodes-tp2-pp4-z0-gbz1024-mbz2-2043441.iterations,2043441,32k,32,256,2,4,32,0,1024,2,16,2,94.02,128.617,526815.232,21.969892613268392
2,2_vocab_65k,lucie7b-seq4k-32nodes-tp2-pp4-z0-gbz1024-mbz2-2172431.iterations,2172431,65k,32,256,2,4,32,0,1024,2,16,20,91.1,122.981,503730.176,22.976733627476932
3,1_seq4k,lucie7b-seq4k-32nodes-tp2-pp2-z0-gbz1024-mbz4-2043439.iterations,2043439,32k,32,256,2,2,64,0,1024,4,4,3,87.67,119.933,491245.568,23.560668692025885
4,1_seq4k,lucie7b-seq4k-32nodes-tp2-pp2-z0-gbz1024-mbz2-2043438.iterations,2043438,32k,32,256,2,2,64,0,1024,2,8,3,83.6,114.363,468430.848,24.708180777355793
5,2_vocab_65k,lucie7b-seq4k-32nodes-tp2-pp2-z0-gbz1024-mbz2-2043614.iterations,2043614,65k,32,256,2,2,64,0,1024,2,8,80,82.2,110.966,454516.736,25.464571834983158
6,1_seq4k,lucie7b-seq4k-32nodes-tp4-pp2-z0-gbz1024-mbz2-2043440.iterations,2043440,32k,32,256,4,2,32,0,1024,2,16,3,76.73,104.954,429891.584,26.92323949769176
7,3_recompute_activation,lucie7b-actchk-32nodes-tp2-pp2-z0-gbz1024-mbz2-2073934.iterations,2073934,65k,32,256,2,2,64,0,1024,2,8,40,102.18,104.837,429412.352,26.95328632296556
8,1_seq4k,lucie7b-seq4k-32nodes-tp2-pp2-z0-gbz512-mbz4-2043437.iterations,2043437,32k,32,256,2,2,64,0,512,4,2,3,59.98,82.053,336089.088,34.437518168022386
9,1_seq4k,lucie7b-seq4k-32nodes-tp2-pp2-z0-gbz512-mbz2-2043436.iterations,2043436,32k,32,256,2,2,64,0,512,2,4,3,59.23,81.033,331911.168,34.87099920082856
10,2_vocab_65k,lucie7b-seq4k-16nodes-tp2-pp2-z0-gbz1024-mbz2-2043613.iterations,2043613,65k,16,128,2,2,32,0,1024,2,16,60,112.32,75.817,310546.432,37.270027543172915
11,1_seq4k,lucie7b-seq4k-16nodes-tp2-pp2-z0-gbz512-mbz4-1988900.iterations,1988900,32k,16,128,2,2,32,0,512,4,4,40,97.48,66.679,273117.184,42.37768530183027
12,1_seq4k,lucie7b-seq4k-16nodes-tp2-pp2-z0-gbz512-mbz2-1944299.iterations,1944299,32k,16,128,2,2,32,0,512,2,8,100,95.47,65.303,267481.088,43.2706258248586
13,1_seq4k,lucie7b-seq4k-16nodes-tp2-pp4-z0-gbz512-mbz2-1944300.iterations,1944300,32k,16,128,2,4,16,0,512,2,16,100,94.89,64.902,265838.592,43.53797538197191
14,2_vocab_65k,lucie7b-seq4k-16nodes-tp2-pp2-z0-gbz512-mbz2-2041671.iterations,2041671,65k,16,128,2,2,32,0,512,2,8,80,95.16,64.232,263094.272,43.99211729730883
