,prefix,total_tokens,total_sequences,min_tokens,max_tokens,language,name,subset,ocr,category,M docs,B words,B chars,#words/doc,#chars/word,B tokens,#tokens/words,#chars/tokens,num_epochs,count,reweighted_count,ratio,new_ratio
57,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/PeS2o_text_document,49451375464,5920645,4097,735753,en,PeS2o,,mixed,technical,38.972,42.296,268.963,1085,6.4,65.365,1.55,4.11,2.5,49451375464,123628438660.0,0.10782882500828991,0.15369808657471806
83,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--javascript_text_document,45429718281,1409426,4097,6407661,code,TheStack,javascript,false,programming,21.109,8.526,141.647,404,16.6,58.609,6.87,2.42,2.0,45429718281,90859436562.0,0.09905959332241433,0.11295881188989514
33,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/GallicaPress--html_text_document,73869709504,1676766,4097,9693787,fr,GallicaPress,,true,newspaper,3.205,67.496,408.882,21061,6.1,121.606,1.8,3.36,1.0,73869709504,73869709504.0,0.1610730521604734,0.09183674185046983
32,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/GallicaMonographies_text_document,25095799479,244760,4097,8054130,fr,GallicaMonographies,,true,book,0.278,15.106,90.456,54392,6.0,25.169,1.67,3.59,2.0,25095799479,50191598958.0,0.05472144192296929,0.062399499707231944
34,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/GallicaPress--txt_text_document,47533107895,1445018,4097,1759015,fr,GallicaPress,,true,newspaper,3.205,67.496,408.882,21061,6.1,121.606,1.8,3.36,1.0,47533107895,47533107895.0,0.10364603866360353,0.059094394555149386
74,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--c_text_document,17797181393,916966,4097,28099072,code,TheStack,c,false,programming,8.626,5.916,57.428,686,9.7,24.092,4.07,2.38,2.0,17797181393,35594362786.0,0.03880679030785776,0.04425183648966218
40,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/HAL_text_document,16073776930,285666,4097,6259511,fr,HAL,,true,technical,0.349,9.356,58.308,26811,6.2,16.224,1.73,3.59,2.0,16073776930,32147553860.0,0.03504890336304231,0.039966674091293515
101,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Theses_text_document,14059854832,102366,4174,6382816,fr,Theses,,true,technical,0.102,7.547,47.758,73690,6.3,14.06,1.86,3.4,2.0,14059854832,28119709664.0,0.030657542122875005,0.03495915355106538
73,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--c++_text_document,13147132059,860756,4097,4524796,code,TheStack,c++,false,programming,6.378,4.584,50.892,719,11.1,18.835,4.11,2.7,2.0,13147132059,26294264118.0,0.028667348255718667,0.03268971222666144
41,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/MathPile--arXiv_text_document,8373526545,330594,4097,5926694,en,MathPile,,false,math,0.737,3.408,27.29,4626,8.0,9.637,2.83,2.83,3.0,8373526545,25120579635.0,0.01825849170121428,0.031230557187296677
82,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--java_text_document,12124696853,1087134,4097,1015910,code,TheStack,java,false,programming,20.152,7.421,89.297,368,12.0,27.68,3.73,3.23,2.0,12124696853,24249393706.0,0.026437926204751692,0.030147476208604015
92,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--python_text_document,11370425051,1005435,4097,1284060,code,TheStack,python,false,programming,12.962,5.434,64.304,419,11.8,21.683,3.99,2.97,2.0,11370425051,22740850102.0,0.02479323500287088,0.02827201561100652
91,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--php_text_document,10969751809,898335,4097,1011368,code,TheStack,php,false,programming,15.905,4.865,66.844,306,13.7,22.883,4.7,2.92,2.0,10969751809,21939503618.0,0.023919566181897958,0.02727576084463432
36,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Gutenberg--en.70_text_document,5512460511,53638,4100,14465104,en,Gutenberg.en,,false,book,0.056,3.544,20.579,62936,5.8,5.516,1.56,3.73,3.0,5512460511,16537381533.0,0.012019931381654792,0.020559702331665583
59,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Pile--DM_Mathematics_text_document,4430102494,850025,4097,6879,en,Pile,DM_Mathematics,false,math,0.992,1.746,8.127,1760,4.7,4.928,2.82,1.65,3.0,4430102494,13290307482.0,0.009659847519146747,0.016522855518630548
72,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--c#_text_document,6396346996,542646,4097,1000089,code,TheStack,c#,false,programming,10.839,3.574,46.286,330,13.0,13.381,3.74,3.46,2.0,6396346996,12792693992.0,0.01394724766404295,0.01590420950080687
80,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--go_text_document,6293370234,364641,4097,1047021,code,TheStack,go,false,programming,4.73,2.735,25.738,578,9.4,10.262,3.75,2.51,2.0,6293370234,12586740468.0,0.013722706624578805,0.015648162729487724
66,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/RedPajama--de--2023_text_document,11163799948,1463027,4097,248511,de,RedPajama--de--2023,,false,web,39.477,24.704,179.027,626,7.2,48.161,1.95,3.72,1.0,11163799948,11163799948.0,0.02434268854456404,0.013879126109724962
60,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Pile--FreeLaw_text_document,10579021120,1189093,4097,1475572,en,Pile,FreeLaw,false,legi_written,3.415,8.204,52.58,2403,6.4,14.011,1.71,3.75,1.0,10579021120,10579021120.0,0.023067577118009913,0.013152113879309351
106,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Wikipedia--en_text_document,3299052039,376172,4097,342132,en,Wikipedia.en,,false,wiki,6.893,4.708,26.616,683,5.7,7.898,1.68,3.37,3.0,3299052039,9897156117.0,0.007193589696317795,0.012304401594018856
58,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Persee_text_document,4902181808,341637,4097,2283384,fr,Persee,,true,technical,1.094,3.25,20.314,2970,6.2,5.754,1.77,3.53,2.0,4902181808,9804363616.0,0.010689217425680426,0.012189039546202287
67,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/RedPajama--es--2023_text_document,9267194594,1202464,4097,180678,es,RedPajama--es--2023,,false,web,39.75,28.868,177.18,726,6.1,46.71,1.62,3.79,1.0,9267194594,9267194594.0,0.020207136703844632,0.011521217063418434
